Germinated,Survived_to_experiment_end,Block_in_greenhouse,Side_of_table,Row_on_table,Role_in_experiment,Role,Seedling_species,Focal,Mg_dry_wt_at_experiment_end,Species_of_impact,Type_of_impact
1,1,29,N,Z,A,R,PV,F,65.9,Parkinsonia,Leachate
1,1,30,N,Y,A,D,PV,NF,659.9,Parkinsonia,Leachate Donor
1,1,30,N,Z,B,D,BG,NF,90.3,Pennisetum,Leachate Donor
1,1,30,N,X,C,P,PV,F,63.9,Control,Competition
1,0,30,N,Y,A,P,PV,F,20.9,Parkinsonia,Competition
1,1,30,N,Y,A,P,PV,NF,50.3,Parkinsonia,Competition
0,1,30,N,Z,B,P,PV,F,76.6,Pennisetum,Competition
1,1,30,N,Z,B,P,BG,NF,9.5,Pennisetum,Competition
1,1,30,N,X,C,R,PV,F,50.2,Control,Leachate
1,1,30,N,Y,A,R,PV,F,58.9,Parkinsonia,Leachate
1,1,30,N,Z,B,R,PV,F,78.1,Pennisetum,Leachate
1,1,31,N,X,A,D,PV,NF,197,Parkinsonia,Leachate Donor
1,1,31,N,Y,B,D,BG,NF,166,Pennisetum,Leachate Donor
0,NA,31,N,X,A,P,PV,F,0,Parkinsonia,Competition
1,1,31,N,X,A,P,PV,NF,125.7,Parkinsonia,Competition
1,1,31,N,Y,B,P,PV,F,141.9,Pennisetum,Competition
1,1,31,N,Y,B,P,BG,NF,173.1,Pennisetum,Competition
1,1,31,N,Z,C,P,PV,F,99,Control,Competition
1,0,31,N,X,A,R,PV,F,84.9,Parkinsonia,Leachate
1,1,31,N,Y,B,R,PV,F,102.3,Pennisetum,Leachate
1,1,31,N,Z,C,R,PV,F,73.8,Control,Leachate
1,1,32,N,X,B,D,BG,NF,680.2,Pennisetum,Leachate Donor
1,1,32,N,Z,A,D,PV,NF,447.2,Parkinsonia,Leachate Donor
1,1,32,N,X,B,P,PV,F,81.8,Pennisetum,Competition
1,1,32,N,X,B,P,BG,NF,17.7,Pennisetum,Competition
1,1,32,N,Y,C,P,PV,F,79,Control,Competition
0,NA,32,N,Z,A,P,PV,F,0,Parkinsonia,Competition
1,1,32,N,Z,A,P,PV,NF,103.3,Parkinsonia,Competition
1,1,32,N,X,B,R,PV,F,110.9,Pennisetum,Leachate
1,1,32,N,Y,C,R,PV,F,98.2,Control,Leachate
1,1,32,N,Z,A,R,PV,F,101.9,Parkinsonia,Leachate
